,Name,URL
158,H. W. Richardson Group Limited,['hwr.co.nz']
159,H.J. Heinz Company (New Zealand),['']
160,Hawkins 2017 Limited,"['hawkinsnewyork.com', 'hawkinscookers.com', 'hawkinsinc.com', 'hawkins-agri.co.uk', 'hawkins.film']"
161,Healthcare of New Zealand Limited,['']
162,Healthcare Shelf Company No. 43 Limited,['']
163,Healthcare Shelf Company No. 44 Limited,['']
164,Healthcare Shelf Company No. 45 Limited,['']
165,Healthcare Shelf Company No. 46 Limited,['']
166,Healthcare Shelf Company No.22 Limited,['']
167,Healthcare Shelf Company No.23 Limited,['']
168,Healthcare Shelf Company No.28 Limited,['']
169,Healthcare Shelf Company No.30 Limited,['']
170,Healthcare Shelf Company No.34 Limited,['']
171,Healthcare Shelf Company No.36 Limited,['']
172,Healthcare Shelf Company No.37 Limited,['']
173,Healthcare Shelf Company No.38 Limited,['']
174,Healthcare Shelf Company No.39 Limited,['']
175,Healthcare Shelf Company No.40 Limited,['']
176,Healthcare Shelf Company No.41 Limited,['']
177,Healthcarenz Limited,['healthcarenz.co.nz']
178,Heinz Wattie's Limited,['']
179,Hellers Group Holdings Limited,['']
180,Hellers Limited,"['hellers.dk', 'hellersearch.com', 'a-c-berlin.de', 'hellersafetysolutions.com', 'hellersforchildren.com']"
181,Higgins Contractors Limited,['']
182,Higgins Group Holdings Limited,['']
183,Hilda Ross Retirement Village Limited,['']
184,Hirepool Limited,"['hirepool.co.nz', 'hirepoolcareers.co.nz', 'hirepool.io']"
185,Hokonui Rural Transport Limited,['']
186,Holcim (New Zealand) Limited,"['holcimfoundation.org', 'holcim.com', 'holcim.az', 'holcim.com.vn', 'holcim.hu']"
187,Homes of Choice Limited,['']
188,Idea Services Limited,"['idea.org.nz', 'ideaservices.com.au', 'ideaservices.pe', 'ideaservices.it', 'ideaservicesrl.com']"
189,IHC New Zealand Incorporated,['']
190,Ilam Senior Living Limited ,['']
191,Inghams Enterprises (NZ) Pty Limited,['']
192,Iplex Pipelines NZ Limited,['iplex.com.au']
193,ISO Limited,"['iso.org', 'isolvedhcm.com', 'isothermal.edu', 'isoftstone.com', 'isotropic.co']"
194,Iss Facilities Services Limited,['']
195,ISS Holdings NZ Limited,['']
196,James Wattie Retirement Village Limited,['']
197,Jane Mander Retirement Village Limited,['']
198,Jane Winstone Retirement Village Limited,['']
199,Jean Sandel Retirement Village Limited,['']
200,Jeffcoats Building Supplies Limited,['']
201,Johnston’s Coaches,['']
202,Julia Wallace Retirement Village Limited,['']
203,Kailua Limited,"['kailua.co.kr', 'kailuaracquetclub.com', 'kailua.pt', 'kailuacanoeclub.com', 'kailuabaptist.org']"
204,Kapuka Transport Limited,['']
205,Keith Park Retirement Village Limited,['']
206,Kevin Hickman Retirement Village Limited,['']
207,Kinetic NZ Holdings Limited,['']
208,Kinsey Kydd Building Supplies Limited,['']
209,Kiri Te Kanawa Retirement Village Limited,['']
210,Kiwi Lumber (Dannevirke) Limited,['kiwilumber.com']
211,Kiwi Lumber (Gisborne) Limited,['kiwilumber.com']
212,Kiwi Lumber (Masterton) Limited,['kiwilumber.com']
213,Kiwi Lumber (Putaruru) Limited,['kiwilumber.com']
214,Kiwi Lumber Holdings Limited,['']
215,KiwiRail Holdings Limited,['']
216,KiwiRail Limited,"['kiwirail.co.nz', 'kiwirailfreight.co.nz']"
217,Kmart NZ Holdings Limited,['']
218,Knobs 'n Knockers Limited,['knobsnknockers.com']
219,Kura Limited,"['kurashiru.com', 'kurashi-no.jp', 'kuragebunch.com', 'kuranvemeali.com', 'kurasushi.com']"
220,Kusabs Building Supplies Limited,['']
221,Lamb Packers Feilding Limited,['']
222,Land Meat New Zealand Limited,['']
223,Landcorp Farming Limited,['']
224,Lansdowne Park Village Limited,['']
225,Lauriston Park Living Well Limited,['']
226,Leary Building Supplies Limited,['']
227,LIC Agritechnology Company Limited,['']
228,LIC Automation Limited,['']
229,Linda Jones Retirement Village Limited,['']
230,Lion Liquor Retail Limited,['']
231,Lion NZ Limited,"['liondesk.com', 'lionbridge.com', 'lioncomputer.com', 'lionbank.com', 'lionsgate.com']"
232,Livestock Improvement Corporation Limited,['']
233,Logan Campbell Retirement Village Limited,['']
234,Lyttelton Port Company Limited,['']
235,MacReady Building Supplies Limited,['']
236,Mainfreight International Limited ,['']
237,Mainfreight Limited,['mainfreight.com']
238,Malvina Major Retirement Village Limited,['']
239,Manufacturing Suppliers Limited,['']
240,Margaret Stoddart Retirement Village Limited,['']
241,Mary Doyle Healthcare Limited,['']
242,Matt Orr Building Supplies Limited,['']
243,Mayfair Lifecare (2008) Limited,['']
244,McGill Building Supplies Limited,['']
245,McInnes Building Supplies Limited,['']
246,Mercury NZ Limited,"['mercurynews.com', 'mercury.com', 'mercurycards.com', 'mercuryinsurance.com', 'mercuryvmp.com']"
247,Messenger Services Limited,['']
248,Metal Line Roofing Limited,['metal-line.co.uk']
249,Metalcraft Insulated Panels Limited,['']
250,Metlifecare Limited,"['metlifecare.co.nz', 'metlifecare.kiwi', 'metlifecareers.com']"
251,Metlifecare Retirement Villages Limited,['']
252,Mico New Zealand Limited,['']
253,Millier Reinforcing Limited,['']
254,"Ministry of Business, Innovation and Employment",['mbie.govt.nz']
255,Ministry of Health,"['mohw.gov.tw', 'moh.gov.sa', 'moh.gov.my', 'health.gov.il', 'mohw.go.kr']"
256,Ministry of Social Development,"['msd.govt.nz', 'social.gov.tt']"
257,Miriam Corban Retirement Village Limited,['']
258,Molly Ryan Lifecare (2007) Limited ,['']
259,Motorcorp Distributors Limited,['']
260,Mount Cook Airline Limited,['']
261,Move Freight Limited,"['movefreight.com', 'movefreighttrucking.com']"
262,Move Fuel Limited,['']
263,Move Investments Limited,['']
264,Move Logistics & Warehousing Limited,"['movelogistics.com', 'movelogistics.net', 'movelogistics.md']"
265,Move Logistics Group Limited,['movelogistics.com']
266,Move Specialist Lifting & Transport Limited,['']
267,Murdoch Manufacturing Limited,['']
268,Murray Halberg Retirement Village Limited,['']
269,MyMilk Limited,"['mymilkman.ie', 'mymilkybaby.com', 'mymilkshakesj.com', 'mymilkncookies.com', 'mymilkcrate.co']"
270,Mytransport Innovations Limited,['']
271,National Institute of Water & Atmospheric Research Limited,['']
272,Nationwide Transport Limited,"['nwtransportation.com', 'nationwidetransportation.com', 'ntwdtrans.com', 'ntbs.co.uk', 'ntds.co.uk']"
273,New Plymouth District Council,['npdc.govt.nz']
274,New Zealand Aluminium Smelters Limited,['']
275,New Zealand Bus Finance Company Limited,['']
276,New Zealand Bus Limited,"['nzbn.govt.nz', 'businesslist.nz', 'nzba.org', 'nzwomen.co.uk', 'nzbfb.co.nz']"
277,New Zealand Bus Tauranga Limited,['']
278,New Zealand Couriers Limited,['nzcouriers.co.nz']
279,New Zealand Cricket Incorporated,['']
280,New Zealand Dairy Board,['']
281,New Zealand Defence Force,['nzdf.mil.nz']
282,New Zealand Document Exchange Limited,['']
283,New Zealand Police Department,['']
284,New Zealand Post Limited,['']
285,New Zealand Rugby Commercial Limited Partnership,['']
286,New Zealand Rugby Union Incorporated,['']
287,New Zealand Steel Limited,"['nzsteel.co.nz', 'colorsteel.co.nz']"
288,New Zealand Sugar Company Limited,['']
289,Ngaio Marsh Retirement Village Limited,['']
290,NIWA Natural Solutions Limited,['']
291,NIWA Vessel Management Limited,['']
292,North Star Motors Limited,"['northstarmotorsports.com', 'northstarmotors.com.au', 'northstar-motorsports.com', 'northstarmotorsredding.com']"
293,Now Couriers Limited,['nowcourierservice.com']
294,NZ Bidco Limited,['']
295,NZB Finco Limited,['']
296,NZB Holdco Limited,['']
297,Nzcommunity Living Limited,['']
298,Oakwoods Lifecare (2012) Limited,['']
299,Oceania Care Company Limited,['']
300,Oceania Group (NZ) Limited,['oceania-group.com']
301,Oceania Healthcare Limited,['oceaniahealthcare.co.nz']
302,Oceania Village Company Limited,['']
303,Oji Fibre Solutions (NZ) Limited,['ojifsfoodservice.com.au']
304,OJI OCEANIA MANAGEMENT (NZ) LIMITED,['']
305,Olive Tree Holdings Limited,['olivetreeholdings.com']
306,One New Zealand Group Limited,['']
307,OneStaff (Auckland) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
308,OneStaff (BOP) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
309,OneStaff (Christchurch) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
310,OneStaff (Dunedin) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
311,OneStaff (Hamilton) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
312,OneStaff (Hawkes Bay) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
313,OneStaff (International) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
314,OneStaff (Nelson) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
315,OneStaff (New Plymouth) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
316,OneStaff (Palmerston North) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
317,OneStaff (Queenstown/Invercargill) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
318,OneStaff (Wellington) Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
319,OneStaff Limited,"['99onestaffing.com', 'onestaffing.com', 'onestaff.ro', 'onestaffingsolutions.com', 'one2staffing.com']"
320,Online Security Services Limited,['']
321,Oranga Tamariki - Ministry for Children,['orangatamariki.govt.nz']
322,Ovation New Zealand Limited,['']
323,Owens Group Limited,"['owensgroup.co.kr', 'owensgroup.uk', 'owensgroup.com', 'owensgroupservices.com']"
324,Owens Transport Limited,"['owens.co.nz', 'owenstransportation.com', 'owenstransport.com']"
325,Pacific Aluminium (New Zealand) Limited,['pacificaluminium.com.au']
326,PAE (New Zealand) Limited,"['paessler.com', 'paeaonline.org', 'paesionline.it', 'pae-engineers.com', 'paesenews.it']"
327,Pan Pac Forest Products Limited,"['panpacjobs.co.nz', 'panpac.co.nz']"
328,Parceline Express Limited,['']
329,Park Lane Lifecare Limited,['']
330,Park Terrace NO. 2 Limited,['']
331,Paul Robinson Building Supplies Limited,['']
332,Penny Engineering Limited,['']
333,PGG Wrightson Limited,"['pggwrightson.co.nz', 'pggwre.co.nz', 'pgw.com.uy', 'pggwrightsonseeds.com']"
334,PGG Wrightson Real Estate Limited,['pggwre.co.nz']
335,Pinpoint Laboratory Services Limited,['']
336,Pipemakers (NZ) Limited,"['pipemakers.org', 'pipemakers.co.nz', 'pipemakersmackay.com.au']"
337,Placemakers Christchurch Limited,['']
338,Placemakers Waiheke Limited,['']
339,Placemakers Wanaka Limited,['']
340,Ports of Auckland Limited,['poal.co.nz']
341,Possum Bourne Retirement Village Limited,['']
342,Post Haste Limited,"['posthaste.co.nz', 'posthastedigital.com', 'posthastebrewing.com', 'posthastehandyman.com', 'posthastemailing.com']"
343,Powell Transport Limited,['powelltransportation.com']
344,Powernet Limited,"['powernet.vn', 'phsnet.com.br', 'powernetinformatica.it', 'powernetups.com.br', 'powernetenergy.lk']"
345,PPCS Limited,"['ppcsteps.com', 'ppcsamurai.com', 'redrock.digital', 'ppcsprout.com', 'ppcsantana.com']"
346,Progress Capital Limited,"['progresscapital.com', 'progresscapital.ca', 'progress-cap.com', 'progresscapitalllc.com']"
347,Progressive Meats Limited,['']
348,Quattro Motors Limited,"['quattromotors.com', 'audi-metz.fr', 'byfcars.com', 'quattromotors1.com']"
349,Queenstown Country Club Living Well Limited,['']
350,Queenstown Country Club Village Limited,['']
351,Ravensdown Aerowork Limited,['']
352,Ravensdown Development Limited,['']
353,Ravensdown Limited,['ravensdown.co.nz']
354,Ravensdown Ventures Limited ,['']
355,Raylight Aluminium Limited,['']
356,RD1 Limited,"['rd.com', 'rdrr.io', 'rd.go.th', 'rdstation.com.br', 'rds.ca']"
357,Recreational Services Limited,['rs.kiwi.nz']
358,Red Stag Timber Limited,"['redstagtimber.co.nz', 'redstagtimberlab.co.nz']"
359,Reece Building Supplies Limited,['']
360,Reofab Limited,['reofab.co.nz']
